Run,Train_Accuracy,Test_Accuracy
1,0.8571428571428571,0.8666666666666667
2,0.9428571428571428,0.8666666666666667
3,0.9428571428571428,1.0
4,0.9428571428571428,0.6666666666666666
5,0.8857142857142857,0.8666666666666667
6,0.9428571428571428,0.8666666666666667
7,1.0,0.8
8,0.9142857142857143,0.8666666666666667
9,0.9142857142857143,0.7333333333333333
10,0.9428571428571428,0.8666666666666667
11,0.8857142857142857,0.8
12,0.9142857142857143,0.8
13,1.0,0.8666666666666667
14,0.9714285714285714,0.6666666666666666
15,0.8,0.8666666666666667
16,0.9142857142857143,0.8666666666666667
17,0.8571428571428571,0.6666666666666666
18,0.9428571428571428,0.8666666666666667
19,0.9142857142857143,0.8
20,0.8857142857142857,0.8666666666666667
21,0.8285714285714286,0.7333333333333333
22,0.9428571428571428,0.8
23,0.8857142857142857,0.7333333333333333
24,0.9714285714285714,0.6
25,0.8571428571428571,0.6
26,0.9142857142857143,0.8666666666666667
27,0.9714285714285714,0.8666666666666667
28,0.9428571428571428,0.8666666666666667
29,0.8285714285714286,0.6
30,0.8857142857142857,0.8
31,1.0,0.8666666666666667
32,0.9142857142857143,0.8666666666666667
33,1.0,0.8666666666666667
34,0.8285714285714286,0.8
35,0.9142857142857143,0.8666666666666667
36,0.9428571428571428,0.9333333333333333
37,0.9142857142857143,0.8666666666666667
38,0.8857142857142857,0.8
39,0.9428571428571428,0.8666666666666667
40,0.8,0.6666666666666666
41,0.9428571428571428,0.9333333333333333
42,0.8285714285714286,0.6666666666666666
43,0.8857142857142857,0.8666666666666667
44,0.9142857142857143,0.6666666666666666
45,0.8285714285714286,0.6666666666666666
46,0.8571428571428571,0.8
47,0.9142857142857143,0.8
48,0.9428571428571428,0.8666666666666667
49,0.9142857142857143,0.9333333333333333
50,0.9142857142857143,0.6666666666666666
51,0.8857142857142857,0.9333333333333333
52,0.9142857142857143,0.8
53,0.9428571428571428,0.6666666666666666
54,0.9428571428571428,0.8
55,0.9142857142857143,0.9333333333333333
56,0.9428571428571428,0.8
57,0.9428571428571428,0.7333333333333333
58,0.9714285714285714,0.9333333333333333
59,1.0,0.8
60,0.8857142857142857,0.9333333333333333
61,0.8857142857142857,0.8666666666666667
62,0.9142857142857143,0.8
63,0.9428571428571428,0.8666666666666667
64,0.8,0.6666666666666666
65,0.9428571428571428,0.6
66,0.9428571428571428,0.6666666666666666
67,0.9142857142857143,0.8666666666666667
68,0.8857142857142857,0.7333333333333333
69,0.9142857142857143,0.8
70,0.9142857142857143,0.8
71,0.6857142857142857,0.6
72,0.9142857142857143,0.6666666666666666
73,1.0,0.8666666666666667
74,0.9714285714285714,0.8666666666666667
75,0.8571428571428571,0.8
76,0.9428571428571428,0.8
77,0.9428571428571428,0.7333333333333333
78,0.8857142857142857,0.8
79,0.8857142857142857,0.8
80,1.0,0.9333333333333333
81,0.8857142857142857,0.6666666666666666
82,0.9142857142857143,0.8
83,0.8857142857142857,0.8
84,0.8571428571428571,0.8
85,0.8857142857142857,0.9333333333333333
86,0.8857142857142857,0.4666666666666667
87,0.9714285714285714,0.7333333333333333
88,0.9428571428571428,0.7333333333333333
89,0.9428571428571428,0.8666666666666667
90,0.9714285714285714,1.0
91,0.9714285714285714,0.7333333333333333
92,0.9714285714285714,0.5333333333333333
93,0.8285714285714286,0.7333333333333333
94,0.9142857142857143,0.5333333333333333
95,0.8571428571428571,0.8
96,0.9142857142857143,0.6666666666666666
97,0.9142857142857143,0.6
98,0.8857142857142857,0.8666666666666667
99,0.7428571428571429,0.7333333333333333
100,1.0,0.6666666666666666
