Run,Train_Accuracy,Test_Accuracy
1,0.7714285714285715,0.6666666666666666
2,0.9428571428571428,0.8
3,1.0,0.9333333333333333
4,0.9142857142857143,0.9333333333333333
5,0.8285714285714286,0.8666666666666667
6,0.9428571428571428,0.7333333333333333
7,1.0,0.8
8,0.8,0.9333333333333333
9,0.9428571428571428,0.6666666666666666
10,0.9428571428571428,0.9333333333333333
11,0.9142857142857143,0.8666666666666667
12,0.8285714285714286,0.6
13,1.0,0.8666666666666667
14,0.9428571428571428,0.6
15,0.9142857142857143,0.8666666666666667
16,0.8571428571428571,0.5333333333333333
17,0.9142857142857143,0.6666666666666666
18,0.7714285714285715,0.5333333333333333
19,0.9714285714285714,0.9333333333333333
20,0.8857142857142857,0.7333333333333333
21,0.8285714285714286,0.6
22,0.8571428571428571,0.7333333333333333
23,0.9142857142857143,0.8
24,0.9428571428571428,0.8
25,0.8857142857142857,0.8666666666666667
26,0.9142857142857143,0.7333333333333333
27,0.9428571428571428,0.8666666666666667
28,0.9142857142857143,0.7333333333333333
29,1.0,0.9333333333333333
30,0.9142857142857143,0.8666666666666667
31,0.9714285714285714,0.7333333333333333
32,0.9142857142857143,0.8
33,0.8857142857142857,0.8666666666666667
34,0.8571428571428571,0.6
35,0.8571428571428571,0.8
36,0.9142857142857143,0.6
37,0.9428571428571428,0.8
38,0.8285714285714286,0.7333333333333333
39,0.8571428571428571,0.9333333333333333
40,0.8857142857142857,0.5333333333333333
41,0.9428571428571428,0.9333333333333333
42,0.9714285714285714,0.7333333333333333
43,0.9428571428571428,0.6
44,0.8857142857142857,0.9333333333333333
45,0.9428571428571428,0.8
46,0.9428571428571428,0.8
47,0.8857142857142857,1.0
48,0.8285714285714286,0.8
49,0.9142857142857143,0.6666666666666666
50,0.8857142857142857,0.8666666666666667
51,0.8571428571428571,0.8666666666666667
52,0.8,0.6666666666666666
53,0.8857142857142857,0.6666666666666666
54,0.9428571428571428,0.8666666666666667
55,0.9142857142857143,0.8
56,0.8285714285714286,0.7333333333333333
57,0.9428571428571428,0.8
58,0.9428571428571428,0.9333333333333333
59,0.8571428571428571,0.6666666666666666
60,0.9714285714285714,1.0
61,0.9428571428571428,0.7333333333333333
62,0.8571428571428571,0.7333333333333333
63,0.8571428571428571,0.8
64,0.9142857142857143,0.7333333333333333
65,0.8571428571428571,0.6
66,0.8571428571428571,0.7333333333333333
67,0.7714285714285715,0.6666666666666666
68,0.8571428571428571,0.5333333333333333
69,0.9428571428571428,0.6666666666666666
70,0.9142857142857143,0.8666666666666667
71,0.8571428571428571,0.9333333333333333
72,0.9428571428571428,0.8
73,0.9142857142857143,0.8666666666666667
74,0.9714285714285714,0.8
75,0.8571428571428571,0.8
76,0.9142857142857143,0.9333333333333333
77,0.8,0.6666666666666666
78,0.8857142857142857,0.6666666666666666
79,0.9142857142857143,0.6
80,0.9142857142857143,0.9333333333333333
81,0.8,0.6666666666666666
82,0.9142857142857143,0.8666666666666667
83,0.9714285714285714,0.9333333333333333
84,0.8857142857142857,0.8666666666666667
85,0.9142857142857143,1.0
86,0.9142857142857143,1.0
87,0.9428571428571428,0.8
88,0.8857142857142857,0.6
89,0.9428571428571428,0.7333333333333333
90,0.8571428571428571,0.6
91,0.9428571428571428,0.6666666666666666
92,0.9428571428571428,0.8666666666666667
93,0.9428571428571428,0.8
94,0.8857142857142857,0.7333333333333333
95,0.9714285714285714,0.9333333333333333
96,0.9142857142857143,0.8
97,0.8571428571428571,0.8666666666666667
98,0.9142857142857143,0.9333333333333333
99,0.8571428571428571,0.8666666666666667
100,1.0,0.5333333333333333
