trial,seed,train_acc,test_acc,n_qubits,maxiter,optimizer
1,10000,0.5242857142857142,0.5433333333333333,8,50,COBYLA
2,10001,0.5528571428571428,0.5133333333333333,8,50,COBYLA
3,10002,0.5271428571428571,0.5433333333333333,8,50,COBYLA
