Run,Train_Accuracy,Test_Accuracy
1,0.8857142857142857,0.8
2,0.9428571428571428,0.6
3,0.9428571428571428,0.8
4,0.8,0.6
5,0.8571428571428571,0.6
6,0.7142857142857143,0.4666666666666667
7,0.7142857142857143,0.7333333333333333
8,0.7714285714285715,0.5333333333333333
9,0.8285714285714286,0.6
10,0.8571428571428571,0.6
11,0.7142857142857143,0.6666666666666666
12,0.8285714285714286,0.7333333333333333
13,0.8285714285714286,0.6666666666666666
14,0.7142857142857143,0.4
15,0.8571428571428571,0.6666666666666666
16,0.8857142857142857,0.26666666666666666
17,0.8,0.6
18,0.7428571428571429,0.4666666666666667
19,0.7428571428571429,0.8
20,0.7142857142857143,0.7333333333333333
21,0.7714285714285715,0.4666666666666667
22,0.7714285714285715,0.7333333333333333
23,0.8,0.6
24,0.8571428571428571,0.6
25,0.8571428571428571,0.7333333333333333
26,0.8857142857142857,0.7333333333333333
27,0.8571428571428571,0.7333333333333333
28,0.8,0.5333333333333333
29,0.9714285714285714,0.7333333333333333
30,0.6285714285714286,0.8
31,0.8857142857142857,0.5333333333333333
32,0.7428571428571429,0.5333333333333333
33,0.8,0.8
34,0.8571428571428571,0.5333333333333333
35,0.6857142857142857,0.7333333333333333
36,0.7428571428571429,0.8
37,0.7714285714285715,0.6
38,0.7142857142857143,0.5333333333333333
39,0.7714285714285715,0.9333333333333333
40,0.9142857142857143,0.8
41,0.8571428571428571,0.7333333333333333
42,0.8285714285714286,0.4666666666666667
43,0.8571428571428571,0.8
44,0.9142857142857143,0.7333333333333333
45,0.9142857142857143,0.7333333333333333
46,0.8285714285714286,0.7333333333333333
47,0.6857142857142857,0.6666666666666666
48,0.7714285714285715,0.9333333333333333
49,0.8571428571428571,0.7333333333333333
50,0.8857142857142857,0.8666666666666667
51,0.8285714285714286,0.6
52,0.8,0.9333333333333333
53,0.6857142857142857,0.4666666666666667
54,0.7428571428571429,0.8
55,0.8571428571428571,0.8666666666666667
56,0.8,0.6666666666666666
57,0.7714285714285715,0.4666666666666667
58,0.8285714285714286,0.6666666666666666
59,0.8285714285714286,0.7333333333333333
60,0.6571428571428571,0.4
61,0.8571428571428571,0.5333333333333333
62,0.7142857142857143,0.6666666666666666
63,0.7714285714285715,0.7333333333333333
64,0.6571428571428571,0.6
65,0.8571428571428571,0.4666666666666667
66,0.8,0.6666666666666666
67,0.9428571428571428,0.8
68,0.7142857142857143,0.3333333333333333
69,0.8285714285714286,0.8666666666666667
70,0.8285714285714286,0.7333333333333333
71,0.7142857142857143,0.6
72,1.0,0.9333333333333333
73,0.9714285714285714,0.8666666666666667
74,0.8,0.9333333333333333
75,0.8571428571428571,0.8666666666666667
76,0.8285714285714286,0.7333333333333333
77,0.7714285714285715,0.4666666666666667
78,0.7714285714285715,0.6
79,0.8285714285714286,0.4666666666666667
80,0.8,0.6666666666666666
81,0.8857142857142857,0.8666666666666667
82,0.7428571428571429,0.6
83,0.8857142857142857,0.8
84,0.7714285714285715,0.8666666666666667
85,0.8571428571428571,1.0
86,0.7142857142857143,0.4
87,0.9142857142857143,0.8
88,0.8285714285714286,0.4
89,0.9428571428571428,1.0
90,0.7714285714285715,0.6666666666666666
91,0.8,0.5333333333333333
92,0.7714285714285715,0.6666666666666666
93,0.8285714285714286,0.5333333333333333
94,0.9428571428571428,0.7333333333333333
95,0.8,0.8
96,0.8857142857142857,0.7333333333333333
97,0.9142857142857143,0.6666666666666666
98,0.7142857142857143,0.6
99,0.7714285714285715,0.6666666666666666
100,0.8285714285714286,0.9333333333333333
