Run,Train_Accuracy,Test_Accuracy
1,1.0,0.8666666666666667
2,0.9142857142857143,0.8666666666666667
3,0.8571428571428571,0.8666666666666667
4,0.9428571428571428,0.6
5,0.6857142857142857,0.7333333333333333
6,0.8571428571428571,0.7333333333333333
7,0.9714285714285714,0.8
8,0.9142857142857143,0.8666666666666667
9,0.9142857142857143,0.8666666666666667
10,0.8,0.5333333333333333
11,0.9142857142857143,0.6
12,1.0,0.8666666666666667
13,0.9428571428571428,0.7333333333333333
14,0.9714285714285714,0.8666666666666667
15,0.9142857142857143,0.7333333333333333
16,1.0,0.6666666666666666
17,0.9428571428571428,0.8666666666666667
18,0.8571428571428571,0.8666666666666667
19,0.8571428571428571,0.7333333333333333
20,0.9714285714285714,0.6666666666666666
21,0.8857142857142857,1.0
22,0.9428571428571428,0.9333333333333333
23,0.8857142857142857,0.8666666666666667
24,0.9428571428571428,0.8666666666666667
25,0.8857142857142857,0.8
26,0.8285714285714286,0.8
27,0.9142857142857143,0.9333333333333333
28,0.9714285714285714,0.8666666666666667
29,1.0,0.8666666666666667
30,0.9428571428571428,0.8666666666666667
31,1.0,0.9333333333333333
32,1.0,1.0
33,0.8571428571428571,0.6666666666666666
34,0.8857142857142857,0.8
35,0.7714285714285715,0.8666666666666667
36,0.8285714285714286,0.7333333333333333
37,0.9428571428571428,0.8666666666666667
38,0.9428571428571428,0.8666666666666667
39,0.8571428571428571,0.6666666666666666
40,0.9428571428571428,0.8666666666666667
41,0.8857142857142857,0.6
42,0.8285714285714286,0.6
43,0.9714285714285714,0.7333333333333333
44,0.9142857142857143,0.7333333333333333
45,0.8857142857142857,0.6
46,0.7714285714285715,0.4666666666666667
47,0.8571428571428571,0.8666666666666667
48,0.8571428571428571,1.0
49,0.8285714285714286,0.8666666666666667
50,0.9714285714285714,1.0
51,0.8571428571428571,0.7333333333333333
52,0.9714285714285714,0.7333333333333333
53,1.0,0.6666666666666666
54,0.9428571428571428,0.8
55,0.9428571428571428,1.0
56,0.8857142857142857,0.7333333333333333
57,0.9428571428571428,0.6666666666666666
58,0.8285714285714286,0.7333333333333333
59,0.9142857142857143,0.8
60,0.9714285714285714,0.8
61,0.7714285714285715,0.5333333333333333
62,0.8285714285714286,0.8
63,0.9428571428571428,0.7333333333333333
64,0.9714285714285714,0.9333333333333333
65,0.9142857142857143,0.9333333333333333
66,0.8,0.8
67,1.0,0.9333333333333333
68,0.7428571428571429,0.6
69,0.8857142857142857,0.8
70,0.9142857142857143,0.8
71,0.9714285714285714,0.8
72,1.0,0.8666666666666667
73,0.9428571428571428,0.8
74,0.9428571428571428,0.8
75,0.9714285714285714,0.9333333333333333
76,1.0,0.7333333333333333
77,0.9142857142857143,0.9333333333333333
78,0.9714285714285714,0.7333333333333333
79,0.8857142857142857,0.7333333333333333
80,0.7714285714285715,0.9333333333333333
81,0.8571428571428571,0.8
82,1.0,0.8666666666666667
83,0.9428571428571428,0.9333333333333333
84,0.9714285714285714,0.9333333333333333
85,0.9428571428571428,0.8666666666666667
86,0.9428571428571428,0.7333333333333333
87,0.9428571428571428,0.8
88,0.9142857142857143,0.9333333333333333
89,0.8285714285714286,0.8666666666666667
90,0.9714285714285714,1.0
91,0.8857142857142857,0.8
92,0.8571428571428571,0.8666666666666667
93,0.9428571428571428,0.7333333333333333
94,0.8857142857142857,0.8666666666666667
95,1.0,0.9333333333333333
96,0.8,0.8666666666666667
97,0.8857142857142857,0.6
98,1.0,0.8
99,0.9428571428571428,1.0
100,0.7714285714285715,0.5333333333333333
