trial,iteration,loss
1,1,1.011915049
1,2,1.007557146
1,3,1.027506868
1,4,0.975085475
1,5,0.978034057
1,6,0.977082334
1,7,0.982155451
1,8,0.976800765
1,9,1.062234983
1,10,1.043543376
1,11,0.975212335
1,12,0.970515049
1,13,0.968730497
1,14,0.967603847
1,15,0.971623351
1,16,0.970314361
1,17,0.968143122
1,18,1.064857881
1,19,0.952186353
1,20,0.950984604
1,21,0.946338704
1,22,0.950401543
1,23,0.947932763
1,24,0.938872124
1,25,0.981589098
1,26,0.936789963
1,27,0.937892196
1,28,0.931937176
1,29,0.932685135
1,30,0.937233491
1,31,0.933976627
1,32,0.935219272
1,33,0.937665096
1,34,0.932201868
1,35,0.93803329
1,36,0.937800489
1,37,0.936962099
1,38,0.933236398
1,39,0.935284016
1,40,0.936326372
1,41,0.934381621
1,42,0.939742506
1,43,0.937704236
1,44,0.934537572
1,45,0.932747941
1,46,0.933787054
1,47,0.937819432
1,48,0.936612264
1,49,0.93352151
1,50,0.935060439
1,51,0.936214941
1,52,0.935486076
1,53,0.935594679
1,54,0.935099153
1,55,0.93073803
1,56,0.933845149
1,57,0.935874176
1,58,0.93525566
1,59,0.940437294
1,60,0.934027253
1,61,0.936068085
1,62,0.936654118
1,63,0.931486313
1,64,0.931417699
1,65,0.915604571
1,66,0.908030929
1,67,0.920909088
1,68,0.910068375
1,69,1.074429907
1,70,0.898389074
1,71,0.883625762
1,72,0.896574119
1,73,0.963366285
1,74,0.863397277
1,75,0.848785565
1,76,0.866002655
1,77,0.833396544
1,78,0.836700208
1,79,0.826228247
1,80,0.839608327
1,81,0.913062488
1,82,0.821913051
1,83,0.822735294
1,84,0.826186383
1,85,0.852972567
1,86,0.826053644
1,87,0.866000763
1,88,0.826352968
1,89,0.819058665
1,90,0.81817038
1,91,0.851362138
1,92,0.817416007
1,93,0.816036968
1,94,0.816320147
1,95,0.814119308
1,96,0.812705162
1,97,0.818802888
1,98,0.812014497
1,99,0.814545943
1,100,0.815015494
1,101,0.813153169
1,102,0.815461259
1,103,0.811475017
1,104,0.818493344
1,105,0.814964598
1,106,0.809364152
1,107,0.817336835
1,108,0.81437092
1,109,0.816010306
1,110,0.816933311
1,111,0.819875353
1,112,0.813703005
1,113,0.817049864
1,114,0.810104013
1,115,0.819113347
1,116,0.81428933
1,117,0.815186559
1,118,0.820018313
1,119,0.817208362
1,120,0.815243119
1,121,0.816148869
1,122,0.81410841
1,123,0.929055099
1,124,0.814439562
1,125,0.833654442
1,126,0.80861603
1,127,0.811289032
1,128,0.803726736
1,129,0.833204911
1,130,0.800338196
1,131,0.808966684
1,132,0.799594849
1,133,0.784432746
1,134,0.76460187
1,135,0.804372844
1,136,0.769157697
1,137,0.82989678
1,138,0.83641847
1,139,0.798795375
1,140,0.76066044
1,141,0.785046859
1,142,0.780887095
1,143,0.815212046
1,144,0.775770972
1,145,0.776357633
1,146,0.761874235
1,147,0.771616694
1,148,0.767311801
1,149,0.797877176
1,150,0.76197376
1,151,0.760682654
1,152,0.759685032
1,153,0.765863271
1,154,0.739985052
1,155,0.737600026
1,156,0.73787624
1,157,0.757104732
1,158,0.73536343
1,159,0.800574774
1,160,0.739671481
1,161,0.738971891
1,162,0.74031452
1,163,0.73646198
1,164,0.741360162
1,165,0.733780431
1,166,0.732644998
1,167,0.734602964
1,168,0.733574696
1,169,0.734264288
1,170,0.729728149
1,171,0.743643618
1,172,0.733468251
1,173,0.740166107
1,174,0.731039436
1,175,0.735416653
1,176,0.71650766
1,177,0.777698566
1,178,0.721532099
1,179,0.725075308
1,180,0.687402336
1,181,0.695630349
1,182,0.683133256
1,183,0.694120563
1,184,0.689083745
1,185,0.68412712
1,186,0.688112106
1,187,0.68858099
1,188,0.683903902
1,189,0.685041804
1,190,0.687133001
1,191,0.688522854
1,192,0.685404644
1,193,0.695667169
1,194,0.693846944
1,195,0.742394056
1,196,0.68665023
1,197,0.822333066
1,198,0.764631639
1,199,0.696537523
1,200,0.709875799
